entry,at,order
"""Qitong @ qrks3Lg6bS"" shows a 10♠, A♥.",2026-02-15T10:00:18.415Z,177114961841500
"-- ending hand #287 --",2026-02-15T10:00:16.768Z,177114961676802
"""Qitong @ qrks3Lg6bS"" collected 2960 from pot",2026-02-15T10:00:16.768Z,177114961676801
"Uncalled bet of 2960 returned to ""Qitong @ qrks3Lg6bS""",2026-02-15T10:00:16.768Z,177114961676800
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T10:00:15.954Z,177114961595400
"""Qitong @ qrks3Lg6bS"" raises to 3700",2026-02-15T10:00:13.200Z,177114961320000
"""Wesley @ 4KT6D07Q4u"" bets 740",2026-02-15T10:00:09.685Z,177114960968500
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T10:00:06.832Z,177114960683200
"River: 10♥, 5♣, 7♣, 8♦ [A♣]",2026-02-15T10:00:03.152Z,177114960315200
"""Qitong @ qrks3Lg6bS"" calls 370",2026-02-15T10:00:02.284Z,177114960228400
"""parrot @ Bx25JER7hJ"" folds",2026-02-15T10:00:00.662Z,177114960066200
"""Wesley @ 4KT6D07Q4u"" bets 370",2026-02-15T09:59:58.435Z,177114959843500
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:59:56.006Z,177114959600600
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:59:53.826Z,177114959382600
"Turn: 10♥, 5♣, 7♣ [8♦]",2026-02-15T09:59:51.825Z,177114959182500
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:59:50.991Z,177114959099100
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:59:49.573Z,177114958957300
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:59:46.104Z,177114958610400
"Flop:  [10♥, 5♣, 7♣]",2026-02-15T09:59:42.948Z,177114958294800
"""Qitong @ qrks3Lg6bS"" calls 240",2026-02-15T09:59:42.145Z,177114958214500
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T09:59:39.793Z,177114957979300
"""parrot @ Bx25JER7hJ"" calls 240",2026-02-15T09:59:38.308Z,177114957830800
"""小姚阿姨 @ 3w343W1v3j"" folds",2026-02-15T09:59:34.295Z,177114957429500
"""Wesley @ 4KT6D07Q4u"" raises to 240",2026-02-15T09:59:33.119Z,177114957311900
"""Qitong @ qrks3Lg6bS"" raises to 70",2026-02-15T09:59:29.222Z,177114956922200
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T09:59:25.091Z,177114956509100
"""大炮弟 @ 71ayGh_gzu"" posts a big blind of 20",2026-02-15T09:59:22.412Z,177114956241209
"""parrot @ Bx25JER7hJ"" posts a small blind of 10",2026-02-15T09:59:22.412Z,177114956241208
"Your hand is 2♦, J♥",2026-02-15T09:59:22.412Z,177114956241206
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (12144) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12455) | #4 ""parrot @ Bx25JER7hJ"" (1960) | #8 ""大炮弟 @ 71ayGh_gzu"" (1872) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (35825) | #10 ""Qitong @ qrks3Lg6bS"" (9980)",2026-02-15T09:59:22.412Z,177114956241201
"-- starting hand #287 (id: gwje9h3se2na)  No Limit Texas Hold'em (dealer: ""小姚阿姨 @ 3w343W1v3j"") --",2026-02-15T09:59:22.412Z,177114956241200
"-- ending hand #286 --",2026-02-15T09:59:16.378Z,177114955637804
"""Wesley @ 4KT6D07Q4u"" collected 100 from pot with Pair, 10's (combination: 6♦, 9♦, J♦, 10♥, 10♣)",2026-02-15T09:59:16.378Z,177114955637803
"""Wesley @ 4KT6D07Q4u"" shows a 10♥, J♦.",2026-02-15T09:59:16.378Z,177114955637802
"""parrot @ Bx25JER7hJ"" shows a 4♠, 9♠.",2026-02-15T09:59:16.378Z,177114955637801
"""小姚阿姨 @ 3w343W1v3j"" shows a Q♣, 7♣.",2026-02-15T09:59:16.378Z,177114955637800
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:59:15.549Z,177114955554900
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:59:14.455Z,177114955445500
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T09:59:12.446Z,177114955244600
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:59:10.421Z,177114955042100
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:59:08.014Z,177114954801400
"River: 10♣, 5♣, 9♦, 6♦ [3♦]",2026-02-15T09:59:05.780Z,177114954578000
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:59:04.975Z,177114954497500
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:59:03.867Z,177114954386700
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T09:59:02.186Z,177114954218600
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:58:57.099Z,177114953709900
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:58:54.865Z,177114953486500
"Turn: 10♣, 5♣, 9♦ [6♦]",2026-02-15T09:58:52.157Z,177114953215700
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:58:51.332Z,177114953133200
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:58:49.504Z,177114952950400
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T09:58:46.180Z,177114952618000
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:58:42.702Z,177114952270200
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:58:40.652Z,177114952065200
"Flop:  [10♣, 5♣, 9♦]",2026-02-15T09:58:33.375Z,177114951337500
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:58:32.563Z,177114951256300
"""小姚阿姨 @ 3w343W1v3j"" calls 20",2026-02-15T09:58:31.457Z,177114951145700
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T09:58:30.058Z,177114951005800
"""Qitong @ qrks3Lg6bS"" calls 20",2026-02-15T09:58:28.970Z,177114950897000
"""女神异闻录 @ vYgaUXvtJ2"" calls 20",2026-02-15T09:58:27.113Z,177114950711300
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T09:58:21.941Z,177114950194100
"""parrot @ Bx25JER7hJ"" posts a big blind of 20",2026-02-15T09:58:19.853Z,177114949985310
"""小姚阿姨 @ 3w343W1v3j"" posts a small blind of 10",2026-02-15T09:58:19.853Z,177114949985309
"Your hand is A♣, 2♥",2026-02-15T09:58:19.853Z,177114949985307
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (12064) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12475) | #4 ""parrot @ Bx25JER7hJ"" (1980) | #8 ""大炮弟 @ 71ayGh_gzu"" (1872) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (35845) | #10 ""Qitong @ qrks3Lg6bS"" (10000)",2026-02-15T09:58:19.853Z,177114949985302
"-- starting hand #286 (id: j4fkyogim5cx)  No Limit Texas Hold'em (dealer: ""Wesley @ 4KT6D07Q4u"") --",2026-02-15T09:58:19.853Z,177114949985301
"The player ""Qitong @ qrks3Lg6bS"" joined the game with a stack of 10000.",2026-02-15T09:58:19.853Z,177114949985300
"-- ending hand #285 --",2026-02-15T09:58:13.843Z,177114949384303
"""Wesley @ 4KT6D07Q4u"" collected 525 from pot with Two Pair, Q's & 8's (combination: 10♠, 8♠, 8♣, Q♣, Q♦)",2026-02-15T09:58:13.843Z,177114949384302
"""Wesley @ 4KT6D07Q4u"" shows a Q♣, 8♠.",2026-02-15T09:58:13.843Z,177114949384301
"""大炮弟 @ 71ayGh_gzu"" shows a A♥, 10♥.",2026-02-15T09:58:13.843Z,177114949384300
"""Wesley @ 4KT6D07Q4u"" calls 100",2026-02-15T09:58:13.007Z,177114949300700
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T09:58:10.187Z,177114949018700
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T09:58:08.963Z,177114948896300
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:58:05.057Z,177114948505700
"River: 10♠, Q♦, 9♦, 8♣ [3♠]",2026-02-15T09:58:02.533Z,177114948253300
"""女神异闻录 @ vYgaUXvtJ2"" calls 75",2026-02-15T09:58:01.705Z,177114948170500
"""大炮弟 @ 71ayGh_gzu"" calls 75",2026-02-15T09:57:52.998Z,177114947299800
"""parrot @ Bx25JER7hJ"" folds",2026-02-15T09:57:51.582Z,177114947158200
"""小姚阿姨 @ 3w343W1v3j"" folds",2026-02-15T09:57:48.371Z,177114946837100
"""Wesley @ 4KT6D07Q4u"" bets 75",2026-02-15T09:57:45.105Z,177114946510500
"Turn: 10♠, Q♦, 9♦ [8♣]",2026-02-15T09:57:39.841Z,177114945984100
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T09:57:39.010Z,177114945901000
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T09:57:32.031Z,177114945203100
"""parrot @ Bx25JER7hJ"" checks",2026-02-15T09:57:22.652Z,177114944265200
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:57:19.821Z,177114943982100
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:57:14.952Z,177114943495200
"Flop:  [10♠, Q♦, 9♦]",2026-02-15T09:57:12.758Z,177114943275800
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:57:11.952Z,177114943195200
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T09:57:09.552Z,177114942955200
"The admin approved the player ""Qitong @ qrks3Lg6bS"" participation with a stack of 10000.",2026-02-15T09:57:09.153Z,177114942915300
"""女神异闻录 @ vYgaUXvtJ2"" calls 20",2026-02-15T09:57:08.332Z,177114942833200
"The player ""Qitong @ qrks3Lg6bS"" requested a seat.",2026-02-15T09:57:07.401Z,177114942740100
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T09:56:59.903Z,177114941990300
"""parrot @ Bx25JER7hJ"" calls 20",2026-02-15T09:56:57.822Z,177114941782200
"""小姚阿姨 @ 3w343W1v3j"" posts a big blind of 20",2026-02-15T09:56:53.757Z,177114941375710
"""Wesley @ 4KT6D07Q4u"" posts a small blind of 10",2026-02-15T09:56:53.757Z,177114941375709
"Your hand is 7♥, 2♥",2026-02-15T09:56:53.757Z,177114941375708
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11734) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12495) | #4 ""parrot @ Bx25JER7hJ"" (2000) | #8 ""大炮弟 @ 71ayGh_gzu"" (2067) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (35940)",2026-02-15T09:56:53.757Z,177114941375703
"-- starting hand #285 (id: muiwoeb2vwcv)  No Limit Texas Hold'em (dead button) --",2026-02-15T09:56:53.757Z,177114941375702
"The player ""parrot @ Bx25JER7hJ"" joined the game with a stack of 2000.",2026-02-15T09:56:53.757Z,177114941375701
"The player ""Qitong @ qrks3Lg6bS"" quits the game with a stack of 0.",2026-02-15T09:56:53.757Z,177114941375700
"-- ending hand #284 --",2026-02-15T09:56:47.734Z,177114940773403
"""女神异闻录 @ vYgaUXvtJ2"" collected 21605 from pot with Full House, 4's over 8's (combination: 8♦, 8♠, 4♦, 4♥, 4♣)",2026-02-15T09:56:47.734Z,177114940773402
"""女神异闻录 @ vYgaUXvtJ2"" shows a 4♦, 8♦.",2026-02-15T09:56:47.734Z,177114940773401
"""Qitong @ qrks3Lg6bS"" shows a A♠, 4♠.",2026-02-15T09:56:47.734Z,177114940773400
"""女神异闻录 @ vYgaUXvtJ2"" calls 8772",2026-02-15T09:56:46.901Z,177114940690100
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T09:56:43.983Z,177114940398300
"""Qitong @ qrks3Lg6bS"" raises to 8772 and go all in",2026-02-15T09:56:42.403Z,177114940240300
"""女神异闻录 @ vYgaUXvtJ2"" bets 2030",2026-02-15T09:56:32.643Z,177114939264300
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T09:56:29.608Z,177114938960800
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:56:28.114Z,177114938811400
"River: 8♠, Q♥, 4♥, 2♥ [4♣]",2026-02-15T09:56:17.073Z,177114937707300
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T09:56:16.237Z,177114937623700
"The admin approved the player ""parrot @ Bx25JER7hJ"" participation with a stack of 2000.",2026-02-15T09:56:13.077Z,177114937307700
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T09:56:11.728Z,177114937172800
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:56:10.318Z,177114937031800
"The player ""parrot @ Bx25JER7hJ"" requested a seat.",2026-02-15T09:56:10.163Z,177114937016300
"Turn: 8♠, Q♥, 4♥ [2♥]",2026-02-15T09:56:03.469Z,177114936346900
"""大炮弟 @ 71ayGh_gzu"" calls 1187",2026-02-15T09:56:02.647Z,177114936264700
"""Qitong @ qrks3Lg6bS"" calls 1187",2026-02-15T09:56:01.161Z,177114936116100
"""女神异闻录 @ vYgaUXvtJ2"" raises to 1187",2026-02-15T09:55:58.064Z,177114935806400
"""大炮弟 @ 71ayGh_gzu"" calls 250",2026-02-15T09:55:51.729Z,177114935172900
"""小姚阿姨 @ 3w343W1v3j"" folds",2026-02-15T09:55:50.142Z,177114935014200
"""Qitong @ qrks3Lg6bS"" bets 250",2026-02-15T09:55:48.747Z,177114934874700
"Flop:  [8♠, Q♥, 4♥]",2026-02-15T09:55:42.877Z,177114934287700
"""女神异闻录 @ vYgaUXvtJ2"" calls 120",2026-02-15T09:55:42.056Z,177114934205600
"""大炮弟 @ 71ayGh_gzu"" calls 120",2026-02-15T09:55:36.658Z,177114933665800
"""小姚阿姨 @ 3w343W1v3j"" calls 120",2026-02-15T09:55:34.806Z,177114933480600
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T09:55:33.477Z,177114933347700
"""Qitong @ qrks3Lg6bS"" raises to 120",2026-02-15T09:55:28.885Z,177114932888500
"""女神异闻录 @ vYgaUXvtJ2"" calls 20",2026-02-15T09:55:24.549Z,177114932454900
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T09:55:14.811Z,177114931481100
"""小姚阿姨 @ 3w343W1v3j"" calls 20",2026-02-15T09:55:13.381Z,177114931338100
"""Wesley @ 4KT6D07Q4u"" posts a big blind of 20",2026-02-15T09:55:11.717Z,177114931171708
"""Qitong @ qrks3Lg6bS"" posts a small blind of 10",2026-02-15T09:55:11.717Z,177114931171707
"Your hand is 4♦, 8♦",2026-02-15T09:55:11.717Z,177114931171705
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11754) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12615) | #8 ""大炮弟 @ 71ayGh_gzu"" (3374) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (24414) | #10 ""Qitong @ qrks3Lg6bS"" (10079)",2026-02-15T09:55:11.717Z,177114931171701
"-- starting hand #284 (id: nw5nu1xidtwy)  No Limit Texas Hold'em (dealer: ""女神异闻录 @ vYgaUXvtJ2"") --",2026-02-15T09:55:11.717Z,177114931171700
"-- ending hand #283 --",2026-02-15T09:55:05.712Z,177114930571203
"""小姚阿姨 @ 3w343W1v3j"" collected 500 from pot with Pair, K's (combination: 9♠, 10♠, Q♦, K♥, K♣)",2026-02-15T09:55:05.712Z,177114930571202
"""小姚阿姨 @ 3w343W1v3j"" shows a 8♠, K♥.",2026-02-15T09:55:05.712Z,177114930571201
"""Qitong @ qrks3Lg6bS"" shows a Q♥, 7♠.",2026-02-15T09:55:05.712Z,177114930571200
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:55:04.871Z,177114930487100
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:55:02.495Z,177114930249500
"River: Q♦, K♣, 5♥, 10♠ [9♠]",2026-02-15T09:55:01.572Z,177114930157200
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:55:00.660Z,177114930066000
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:54:52.115Z,177114929211500
"Turn: Q♦, K♣, 5♥ [10♠]",2026-02-15T09:54:48.824Z,177114928882400
"""Qitong @ qrks3Lg6bS"" calls 190",2026-02-15T09:54:47.999Z,177114928799900
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T09:54:45.806Z,177114928580600
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T09:54:29.273Z,177114926927300
"""小姚阿姨 @ 3w343W1v3j"" raises to 190",2026-02-15T09:54:27.697Z,177114926769700
"""Qitong @ qrks3Lg6bS"" calls 40",2026-02-15T09:54:20.775Z,177114926077500
"""女神异闻录 @ vYgaUXvtJ2"" bets 40",2026-02-15T09:54:19.189Z,177114925918900
"Flop:  [Q♦, K♣, 5♥]",2026-02-15T09:54:13.010Z,177114925301000
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:54:12.165Z,177114925216500
"""女神异闻录 @ vYgaUXvtJ2"" calls 20",2026-02-15T09:54:10.415Z,177114925041500
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T09:54:07.164Z,177114924716400
"""小姚阿姨 @ 3w343W1v3j"" calls 20",2026-02-15T09:54:05.554Z,177114924555400
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T09:54:03.550Z,177114924355000
"""Qitong @ qrks3Lg6bS"" posts a big blind of 20",2026-02-15T09:54:00.610Z,177114924061008
"""女神异闻录 @ vYgaUXvtJ2"" posts a small blind of 10",2026-02-15T09:54:00.610Z,177114924061007
"Your hand is Q♠, 7♦",2026-02-15T09:54:00.610Z,177114924061005
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11754) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12325) | #8 ""大炮弟 @ 71ayGh_gzu"" (3394) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (24474) | #10 ""Qitong @ qrks3Lg6bS"" (10289)",2026-02-15T09:54:00.610Z,177114924061001
"-- starting hand #283 (id: jnyouaptf8ez)  No Limit Texas Hold'em (dealer: ""大炮弟 @ 71ayGh_gzu"") --",2026-02-15T09:54:00.610Z,177114924061000
"""小姚阿姨 @ 3w343W1v3j"" shows a 8♠, 7♣.",2026-02-15T09:53:57.898Z,177114923789800
"-- ending hand #282 --",2026-02-15T09:53:57.005Z,177114923700502
"""女神异闻录 @ vYgaUXvtJ2"" collected 2350 from pot",2026-02-15T09:53:57.005Z,177114923700501
"Uncalled bet of 2350 returned to ""女神异闻录 @ vYgaUXvtJ2""",2026-02-15T09:53:57.005Z,177114923700500
"""小姚阿姨 @ 3w343W1v3j"" folds",2026-02-15T09:53:56.203Z,177114923620300
"""Qitong @ qrks3Lg6bS"" folds",2026-02-15T09:53:39.485Z,177114921948500
"""女神异闻录 @ vYgaUXvtJ2"" bets 2350",2026-02-15T09:53:31.184Z,177114921118400
"Turn: J♦, 7♠, 8♥ [4♣]",2026-02-15T09:53:26.519Z,177114920651900
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T09:53:25.679Z,177114920567900
"""小姚阿姨 @ 3w343W1v3j"" calls 530",2026-02-15T09:53:24.254Z,177114920425400
"""Qitong @ qrks3Lg6bS"" calls 530",2026-02-15T09:53:22.326Z,177114920232600
"""女神异闻录 @ vYgaUXvtJ2"" raises to 530",2026-02-15T09:53:20.248Z,177114920024800
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T09:53:15.453Z,177114919545300
"Flop:  [J♦, 7♠, 8♥]",2026-02-15T09:53:10.228Z,177114919022800
"""大炮弟 @ 71ayGh_gzu"" calls 160",2026-02-15T09:53:09.398Z,177114918939800
"""小姚阿姨 @ 3w343W1v3j"" calls 160",2026-02-15T09:53:08.139Z,177114918813900
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T09:53:06.322Z,177114918632200
"""Qitong @ qrks3Lg6bS"" calls 160",2026-02-15T09:53:01.836Z,177114918183600
"""女神异闻录 @ vYgaUXvtJ2"" raises to 160",2026-02-15T09:52:59.084Z,177114917908400
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T09:52:51.314Z,177114917131400
"""小姚阿姨 @ 3w343W1v3j"" calls 20",2026-02-15T09:52:49.738Z,177114916973800
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T09:52:48.559Z,177114916855900
"""Qitong @ qrks3Lg6bS"" calls 20",2026-02-15T09:52:47.425Z,177114916742500
"""女神异闻录 @ vYgaUXvtJ2"" posts a big blind of 20",2026-02-15T09:52:45.847Z,177114916584708
"""大炮弟 @ 71ayGh_gzu"" posts a small blind of 10",2026-02-15T09:52:45.847Z,177114916584707
"Your hand is A♦, A♥",2026-02-15T09:52:45.847Z,177114916584705
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11774) | #2 ""小姚阿姨 @ 3w343W1v3j"" (13015) | #8 ""大炮弟 @ 71ayGh_gzu"" (3654) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (22814) | #10 ""Qitong @ qrks3Lg6bS"" (10979)",2026-02-15T09:52:45.847Z,177114916584701
"-- starting hand #282 (id: 04u3nkqrxrws)  No Limit Texas Hold'em (dealer: ""小姚阿姨 @ 3w343W1v3j"") --",2026-02-15T09:52:45.847Z,177114916584700
"-- ending hand #281 --",2026-02-15T09:52:42.880Z,177114916288002
"""小姚阿姨 @ 3w343W1v3j"" collected 90 from pot",2026-02-15T09:52:42.880Z,177114916288001
"Uncalled bet of 210 returned to ""小姚阿姨 @ 3w343W1v3j""",2026-02-15T09:52:42.880Z,177114916288000
"""Qitong @ qrks3Lg6bS"" folds",2026-02-15T09:52:42.056Z,177114916205600
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T09:52:40.310Z,177114916031000
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T09:52:26.221Z,177114914622100
"""小姚阿姨 @ 3w343W1v3j"" bets 210",2026-02-15T09:52:24.923Z,177114914492300
"Flop:  [6♥, Q♥, 4♥]",2026-02-15T09:52:18.036Z,177114913803600
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T09:52:17.179Z,177114913717900
"""小姚阿姨 @ 3w343W1v3j"" calls 20",2026-02-15T09:52:15.133Z,177114913513300
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T09:52:13.384Z,177114913338400
"""Qitong @ qrks3Lg6bS"" calls 20",2026-02-15T09:52:11.452Z,177114913145200
"""女神异闻录 @ vYgaUXvtJ2"" calls 20",2026-02-15T09:52:09.875Z,177114912987500
"""大炮弟 @ 71ayGh_gzu"" posts a missing small blind of 10",2026-02-15T09:51:58.528Z,177114911852810
"""大炮弟 @ 71ayGh_gzu"" posts a big blind of 20",2026-02-15T09:51:58.528Z,177114911852809
"""小姚阿姨 @ 3w343W1v3j"" posts a small blind of 10",2026-02-15T09:51:58.528Z,177114911852808
"Your hand is 2♠, 2♥",2026-02-15T09:51:58.528Z,177114911852806
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11774) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12945) | #8 ""大炮弟 @ 71ayGh_gzu"" (3684) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (22834) | #10 ""Qitong @ qrks3Lg6bS"" (10999)",2026-02-15T09:51:58.528Z,177114911852802
"-- starting hand #281 (id: updjlvhsakdc)  No Limit Texas Hold'em (dealer: ""Wesley @ 4KT6D07Q4u"") --",2026-02-15T09:51:58.528Z,177114911852801
"The player ""大炮弟 @ 71ayGh_gzu"" joined the game with a stack of 3684.",2026-02-15T09:51:58.528Z,177114911852800
"-- ending hand #280 --",2026-02-15T09:51:55.615Z,177114911561502
"""Qitong @ qrks3Lg6bS"" collected 250 from pot",2026-02-15T09:51:55.615Z,177114911561501
"Uncalled bet of 250 returned to ""Qitong @ qrks3Lg6bS""",2026-02-15T09:51:55.615Z,177114911561500
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T09:51:54.783Z,177114911478300
"""小姚阿姨 @ 3w343W1v3j"" folds",2026-02-15T09:51:47.554Z,177114910755400
"""Qitong @ qrks3Lg6bS"" bets 250",2026-02-15T09:51:45.252Z,177114910525200
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T09:51:42.042Z,177114910204200
"""小姚阿姨 @ 3w343W1v3j"" checks",2026-02-15T09:51:40.034Z,177114910003400
"Flop:  [J♠, 3♣, 7♣]",2026-02-15T09:51:37.398Z,177114909739800
"""小姚阿姨 @ 3w343W1v3j"" calls 80",2026-02-15T09:51:36.538Z,177114909653800
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T09:51:33.990Z,177114909399000
"""Qitong @ qrks3Lg6bS"" calls 80",2026-02-15T09:51:32.421Z,177114909242100
"The player ""大炮弟 @ 71ayGh_gzu"" sit back with the stack of 3684.",2026-02-15T09:51:32.091Z,177114909209100
"""女神异闻录 @ vYgaUXvtJ2"" raises to 80",2026-02-15T09:51:30.345Z,177114909034500
"""小姚阿姨 @ 3w343W1v3j"" posts a big blind of 20",2026-02-15T09:51:21.022Z,177114908102207
"""Wesley @ 4KT6D07Q4u"" posts a small blind of 10",2026-02-15T09:51:21.022Z,177114908102206
"Your hand is A♥, 8♥",2026-02-15T09:51:21.022Z,177114908102204
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11784) | #2 ""小姚阿姨 @ 3w343W1v3j"" (13025) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (22914) | #10 ""Qitong @ qrks3Lg6bS"" (10829)",2026-02-15T09:51:21.022Z,177114908102201
"-- starting hand #280 (id: o0hnvq3wy4jf)  No Limit Texas Hold'em (dealer: ""Qitong @ qrks3Lg6bS"") --",2026-02-15T09:51:21.022Z,177114908102200
"-- ending hand #279 --",2026-02-15T09:51:18.099Z,177114907809902
"""小姚阿姨 @ 3w343W1v3j"" collected 60 from pot",2026-02-15T09:51:18.099Z,177114907809901
"Uncalled bet of 210 returned to ""小姚阿姨 @ 3w343W1v3j""",2026-02-15T09:51:18.099Z,177114907809900
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T09:51:17.287Z,177114907728700
"""Qitong @ qrks3Lg6bS"" folds",2026-02-15T09:51:15.431Z,177114907543100
"""小姚阿姨 @ 3w343W1v3j"" bets 210",2026-02-15T09:51:13.266Z,177114907326600
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:51:09.427Z,177114906942700
"""Qitong @ qrks3Lg6bS"" checks",2026-02-15T09:51:08.208Z,177114906820800
"Flop:  [Q♥, 5♥, 3♠]",2026-02-15T09:51:06.242Z,177114906624200
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T09:51:05.387Z,177114906538700
"""Qitong @ qrks3Lg6bS"" calls 20",2026-02-15T09:51:04.046Z,177114906404600
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T09:51:02.246Z,177114906224600
"""小姚阿姨 @ 3w343W1v3j"" calls 20",2026-02-15T09:50:56.903Z,177114905690300
"""Wesley @ 4KT6D07Q4u"" posts a big blind of 20",2026-02-15T09:50:55.231Z,177114905523107
"""Qitong @ qrks3Lg6bS"" posts a small blind of 10",2026-02-15T09:50:55.231Z,177114905523106
"Your hand is 8♦, 3♦",2026-02-15T09:50:55.231Z,177114905523104
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11804) | #2 ""小姚阿姨 @ 3w343W1v3j"" (12985) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (22914) | #10 ""Qitong @ qrks3Lg6bS"" (10849)",2026-02-15T09:50:55.231Z,177114905523101
